frame;Fx;Fy;Fz
238;-0.192082;-2.74017;0.608044
239;-0.215865;-2.95241;0.634064
240;0;0;0
241;0;0;0
242;0;0;0
243;0;0;0
244;0;0;0
245;0;0;0
246;0;0;0
247;0;0;0
248;0;0;0
249;0;0;0
250;0;0;0
251;0;0;0
252;0;0;0
253;0;0;0
254;0;0;0
255;0;0;0
256;0;0;0
257;0;0;0
258;0;0;0
259;0;0;0
260;-0.152296;-1.99514;0.476302
261;-0.136935;-2.22255;0.520884
262;-0.156358;-2.37934;0.550314
263;-0.138873;-2.47137;0.566006
264;-0.144277;-2.55942;0.580991
265;-0.149902;-2.65129;0.595835
266;-0.157279;-2.74813;0.610201
267;-0.169175;-2.85332;0.623252
268;-0.146251;-2.96847;0.638373
269;-0.155135;-3.08286;0.650831
270;-0.157964;-3.20193;0.66264
271;-0.159453;-3.32492;0.674109
272;-0.070107;-3.46347;0.688523
273;-0.115424;-3.59591;0.695863
274;-0.118779;-3.74368;0.70215
275;-0.118779;-3.74368;0.70215
276;-0.066432;-3.73905;0.706645
277;-0.066432;-3.73905;0.706645
278;-0.001357;-3.87389;0.714718
279;0.051796;-3.86059;0.718344
280;0;0;0
281;0;0;0
282;0;0;0
283;0;0;0
284;0;0;0
285;0;0;0
286;0;0;0
287;0;0;0
288;0;0;0
289;0;0;0
290;0;0;0
291;0;0;0
292;0;0;0
293;0;0;0
294;0;0;0
295;0;0;0
296;0;0;0
297;0;0;0
298;0;0;0
299;0;0;0
300;-0.125955;-2.75608;0.611558
301;-0.227729;-3.06436;0.64682
302;-0.157964;-3.20193;0.66264
303;-0.161342;-3.45394;0.684435
304;-0.212898;-3.44678;0.6814
305;-0.282557;-3.58122;0.682732
306;-0.292352;-3.73115;0.687232
307;-0.299863;-3.88776;0.690876
308;-0.239208;-3.90039;0.694783
309;-0.239208;-3.90039;0.694783
310;-0.239208;-3.90039;0.694783
311;-0.232284;-3.74206;0.69136
312;-0.232284;-3.74206;0.69136
313;-0.239208;-3.90039;0.694783
314;-0.239208;-3.90039;0.694783
315;-0.243847;-4.06541;0.697349
316;-0.243847;-4.06541;0.697349
317;-0.182543;-4.07102;0.701592
318;-0.12236;-3.90367;0.704829
319;-0.12236;-3.90367;0.704829
320;0;0;0
321;0;0;0
322;0;0;0
323;0;0;0
324;0;0;0
325;0;0;0
326;0;0;0
327;0;0;0
328;0;0;0
329;0;0;0
330;0;0;0
331;0;0;0
332;0;0;0
333;0;0;0
334;0;0;0
335;0;0;0
336;0;0;0
337;0;0;0
338;0;0;0
339;0;0;0
340;0.120911;-3.07299;0.658866
341;0.013903;-3.32814;0.682243
342;0.027462;-3.58882;0.701966
343;0.038739;-3.72246;0.710806
344;0.038739;-3.72246;0.710806
345;0.038739;-3.72246;0.710806
346;0.087237;-3.71362;0.71239
347;0.087237;-3.71362;0.71239
348;0.087237;-3.71362;0.71239
349;0.087237;-3.71362;0.71239
350;0.148044;-3.83971;0.722532
351;0.148044;-3.83971;0.722532
352;0.148044;-3.83971;0.722532
353;0.148044;-3.83971;0.722532
354;0.193258;-3.82605;0.724766
355;0.193258;-3.82605;0.724766
356;0.209781;-3.96571;0.731525
357;0.209781;-3.96571;0.731525
358;0.193258;-3.82605;0.724766
359;0.237522;-3.80951;0.727121
360;0;0;0
361;0;0;0
362;0;0;0
363;0;0;0
364;0;0;0
365;0;0;0
366;0;0;0
367;0;0;0
368;0;0;0
369;0;0;0
370;0;0;0
371;0;0;0
372;0;0;0
373;0;0;0
374;0;0;0
375;0;0;0
376;0;0;0
377;0;0;0
378;0;0;0
379;0;0;0
380;0.193258;-3.82605;0.724766
381;0.178216;-3.68835;0.717206
382;0.193258;-3.82605;0.724766
383;0.237522;-3.80951;0.727121
384;0.209781;-3.96571;0.731525
385;0.226904;-4.1061;0.736879
386;0.226904;-4.1061;0.736879
387;0.226904;-4.1061;0.736879
388;0.226904;-4.1061;0.736879
389;0.226904;-4.1061;0.736879
390;0.24694;-4.25233;0.737198
391;0.24694;-4.25233;0.737198
392;0.226904;-4.1061;0.736879
393;0.183621;-4.12634;0.733216
394;0.183621;-4.12634;0.733216
395;0.24694;-4.25233;0.737198
396;0.183621;-4.12634;0.733216
397;0.24694;-4.25233;0.737198
398;0.24694;-4.25233;0.737198
399;0.254529;-3.9487;0.733038
400;0;0;0
401;0;0;0
402;0;0;0
403;0;0;0
404;0;0;0
405;0;0;0
406;0;0;0
407;0;0;0
408;0;0;0
409;0;0;0
410;0;0;0
411;0;0;0
412;0;0;0
413;0;0;0
414;0;0;0
415;0;0;0
416;0;0;0
417;0;0;0
418;0;0;0
419;0;0;0
420;0;0;0
421;0;0;0
422;0;0;0
423;0;0;0
424;0;0;0
425;0;0;0
426;0;0;0
427;0;0;0
428;0;0;0
429;0;0;0
430;0;0;0
431;0;0;0
432;0;0;0
433;0;0;0
434;0;0;0
435;0;0;0
436;0;0;0
437;0;0;0
438;0;0;0
439;0;0;0
440;0;0;0
441;0;0;0
442;0;0;0
443;0;0;0
444;0;0;0
445;0;0;0
446;0;0;0
447;0;0;0
448;0;0;0
449;0;0;0
450;0;0;0
451;0;0;0
452;0;0;0
453;0;0;0
454;0;0;0
455;0;0;0
456;0;0;0
457;0;0;0
458;0;0;0
459;0;0;0
460;0;0;0
461;0;0;0
462;0;0;0
463;0;0;0
464;0;0;0
465;0;0;0
466;0;0;0
467;0;0;0
468;0;0;0
469;0;0;0
470;0;0;0
471;0;0;0
472;0;0;0
473;0;0;0
474;0;0;0
475;0;0;0
476;0;0;0
477;0;0;0
478;0;0;0
479;0;0;0
480;0;0;0
481;0;0;0
482;0;0;0
483;0;0;0
484;0;0;0
485;0;0;0
486;0;0;0
487;0;0;0
488;0;0;0
489;0;0;0
490;0;0;0
491;0;0;0
492;0;0;0
493;0;0;0
494;0;0;0
495;0;0;0
496;0;0;0
497;0;0;0
498;0;0;0
499;0;0;0
500;0;0;0
501;0;0;0
502;0;0;0
503;0;0;0
504;0;0;0
505;0;0;0
506;0;0;0
507;0;0;0
508;0;0;0
509;0;0;0
510;0;0;0
511;0;0;0
512;0;0;0
513;0;0;0
514;0;0;0
515;0;0;0
516;0;0;0
517;0;0;0
518;0;0;0
519;0;0;0
520;0;0;0
521;0;0;0
522;0;0;0
523;0;0;0
524;0;0;0
525;0;0;0
526;0;0;0
527;0;0;0
528;0;0;0
529;0;0;0
530;0;0;0
531;0;0;0
532;0;0;0
533;0;0;0
534;0;0;0
535;0;0;0
536;0;0;0
537;0;0;0
538;0;0;0
539;0;0;0
540;0;0;0
541;0;0;0
542;0;0;0
543;0;0;0
544;0;0;0
545;0;0;0
546;0;0;0
547;0;0;0
548;0;0;0
549;0;0;0
550;0;0;0
551;0;0;0
552;0;0;0
553;0;0;0
554;0;0;0
555;0;0;0
556;0;0;0
557;0;0;0
558;0;0;0
559;0;0;0
560;0;0;0
561;0;0;0
562;0;0;0
563;0;0;0
564;0;0;0
565;0;0;0
566;0;0;0
567;0;0;0
568;0;0;0
569;0;0;0
570;0;0;0
571;0;0;0
572;0;0;0
573;0;0;0
574;0;0;0
575;0;0;0
576;0;0;0
577;0;0;0
578;0;0;0
579;0;0;0
580;0;0;0
581;0;0;0
582;0;0;0
583;0;0;0
584;0;0;0
585;0;0;0
586;0;0;0
587;0;0;0
588;0;0;0
589;0;0;0
590;0;0;0
591;0;0;0
592;0;0;0
593;0;0;0
594;0;0;0
595;0;0;0
596;0;0;0
597;0;0;0
598;0;0;0
599;0;0;0
600;0;0;0
601;0;0;0
602;0;0;0
603;0;0;0
604;0;0;0
605;0;0;0
606;0;0;0
607;0;0;0
608;0;0;0
609;0;0;0
